Original,RMSE,Modelo
10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),0.0998525065090681,0.206*(sin(0.523*X1) + sin(0.519*X4))*(sin(0.52*X3) + sin(0.523*X5)) + 0.216
10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),0.099854841541202,0.206*(sin(0.522*X1) + sin(0.519*X4))*(sin(0.52*X3) + sin(0.522*X5)) + 0.215
30 * ((x1-1)*(x3-1) / ((x2**2) * (x1 - 10))),0.1773856403202185,-0.003 - 4.34603401994842*cos(1.552*X3)*cos(exp(0.445*X1))/(0.0486366985998526*X1 + X2)**2
30 * ((x1-1)*(x3-1) / ((x2**2) * (x1 - 10))),0.1791947657559834,-3.271*exp(cos(0.070225*X1**2 - 1.473*X2))*cos(1.549*X1)*cos(exp(0.424*X3)) - 0.008
30 * ((x1-1)*(x3-1) / ((x2**2) * (x1 - 10))),0.1830803860373954,(9.554*(0.742*X1 - cos(0.611*X1 + 0.079*X2))*cos(1.556*X3) - 0.002*exp(1.448*X2))*exp(-1.448*X2)
30 * ((x1-1)*(x3-1) / ((x2**2) * (x1 - 10))),0.1936277745384053,(0.003*X2**2 + (2.72669640775735*X3 - 2.7347476766779)*cos(1.592*X1))/X2**2
30 * ((x1-1)*(x3-1) / ((x2**2) * (x1 - 10))),0.2242336866113398,((-0.024845674784805*X1**4*exp(1.705*X2) - 11.205)*cos(1.55*X1)*cos(1.55*X3) - 0.002*exp(1.705*X2))*exp(-1.705*X2)
6 * sin(x1) * cos(x2),0.000649412908934,6.001*sin(1.0*X1)*cos(1.0*X2)*cos(sin(0.035*X2*exp(-0.704*X2)))
6 * sin(x1) * cos(x2),0.0015440659082912,5.86272133903162*sin(1.0*X1)*cos(1.0*X2)
6 * sin(x1) * cos(x2),0.0015580230594567,-13.2673096349675*sin(1.0*X1)*cos(1.0*X2)
6 * sin(x1) * cos(x2),0.0036296128506601,-105.616415287605*sin(1.0*X1)*cos(1.0*X2) - 0.001
6 * sin(x1) * cos(x2),0.0036766516735715,6.001*sin(1.0*X1)*cos(1.0*X2)*cos(sin(0.009*X2)) + 0.001
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),0.5510837618220353,((-0.75338016*X1*X2 + 2.922504*X1 - 0.2652*X2)*sin(0.862*X1) + 0.74*sin(0.322*X1))/sin(0.322*X1)
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),0.9270229788449148,-0.519219712*(X1 - 0.915441176470588*X2)**2 - 7.018*sin(0.424*X2 - sin(0.77*X1) + exp(-0.336*X1)) + 7.564
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),1.211972062493264,(4.489254*X2 - 15.425802907916)*sin(0.124*X1 - sin(0.707*X1)) - 0.038
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),1.224018068792072,11.92*(0.416*X1 - 0.449*X2 + cos(0.416*X1))*sin(cos(exp(0.034225*X1**2))) + 0.659
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),1.251101786463421,-0.023 + 5.28301886792453*exp(0.467*X1)*sin(0.854*X1)*cos(0.455*X2)/X1
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),0.629461356598778,3.234*exp(-sin(0.513*X1) - sin(0.548*X1) + sin(sin(0.727*X2))) - 0.862
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),0.7498492011931771,10.412*sin(exp(-4*sin(0.526*X1))*sin(0.363*X2 + cos(0.464*X1)**2)**4) - 0.064
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),0.9022735650724758,6.952*(sin(0.523*X1) - cos(0.318*X2 - cos(cos(cos(1.153*X2)))))**2 - 0.24
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),0.9377426533481136,3.739*((0.145*X2 + cos(0.28*X2))**2 - sin(0.526*X1))**2 - 0.425
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),1.1577553979830917,5.831*(sin(0.519*X1) - cos(sin(0.253*X2)**4))**2 - 0.189
