Original,RMSE,Modelo
sqrt((x2-x1)**2+(y2-y1)**2),0.9769679390139128,2.493 - 1.161*cos(0.876*X1 - 0.89*X2)
np.arcsin(lambd/(n*d)),0.1939580192187679,(-2.69392*X1 - 2.06293501200021*X2*X3)/(0.596*X1 - 2.874144*X2*X3)
q**2*a**2/(6*pi*epsilon*c**3),1.2328744340751263,0.112958823431813*X2**2*exp(0.475*X1)/(X3*X4**3)
(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),9.420295806977329,0.011319*X3*(100.137*X1 + 50.967*X4 - 24.208*X6)*exp(3.591*X5 - 1.509*X6) + 0.037
q*v*B/p,12.406533212290832,1.005081628*X1*X2*X3/X4
omega_0/(1-v/c),2.658379605477638,0.06834*X1 - 0.252028245125348*X2 + 0.659180153203343*X3 - 0.023 - 0.182070167130919*X2**2/X1 + 2.83726010445682*X2*X3/X1
(1+v/c)/sqrt(1-v**2/c**2)*omega_0,2.382370926700079,3.206885*X3 - 2.79595*X3*exp(-0.128*X2) + 0.04 + 2.9283503649635*X3*exp(-0.128*X2)/X1
(h/(2*pi))*omega,1.028525719279887,0.1590186*X1*X2
I1+I2+2*sqrt(I1*I2)*cos(delta),4.340355940617545,0.490568*X1 + 0.528304*X2 - 18.868*sin(0.502*X3) + 16.164
4*pi*epsilon*(h/(2*pi))**2/(m*q**2),1.427436332238739,0.283342642359426*X3**2*X4/(X1*X2**2)
3/2*pr*V,10.122350234573895,1.499499*X1*X2
G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),0.1497993540273049,(16.4462485973993*X1*X2*X3*(0.024*X7 + 0.017*X9) - 0.001*X4*X8)/(X4*X8)
1/(gamma-1)*pr*V,5.730677654519057,0.11278575*X2*X3 + 0.002 + 3.48926497277677*X2*X3/X1**2
n*kb*T/V,13.243790958923492,1.00157529292237*X1*X2*X4/X3
n_0*exp(-m*g*x/(kb*T)),0.8324815858322594,(-0.107*X2*X3*exp(0.24*X5) + 0.304156296665007*X6*(1.307*X1 + 1.172*X4))*exp(-0.24*X5)/(X2*X3)
h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(kb*T))-1)),1.397018823114276,(0.0373512490689202*X1*X2*X4*(2.169*X1 + 0.288*X2) - 0.018*X5**2)/X5**2
mu_drift*q*Volt/d,11.182293653538911,1.0024343675*X1*X2*X3/X4
mob*kb*T,29.37921894861008,1.00122154704*X1*X2*X3
1/(gamma-1)*kb*v/A,2.7492450050806503,-0.006 + 0.714292686700906*X2*X4/(X1*X3) + 2.45839055554555*X2*X4/(X1**2*X3)
"n*kb*T*log(V2/V1,e)",32.66005680968792,(-4.808255*X4 - 4.058195*X5 - 1.381*(0.35*X4 - 0.384*X5)*(11.15994*X1*X2 + 40.064*X3))/(2.077*X4 + 1.753*X5)
sqrt(gamma*pr/rho),0.8612118040653494,0.145314608108108*X1*X2/X3 + 0.134085*X1 + 0.14847*X2 - 0.13524*X3 + 0.814
m*c**2/sqrt(1-v**2/c**2),122.13885544012268,0.129*(1.738*X1 - 0.004*X2)*(2.604996*X2**2 + 4.46152*X3**2) + 0.063
m_0/sqrt(1-v**2/c**2),1.7809899580351374,1.030029*X1 - 0.618618*X1/(0.108*X2 - 0.234*X3) - 2.9733*X1/X3 - 0.003
x1*(cos(omega*t)+alpha*cos(omega*t)**2),2.2159828018586585,0.90351352*X1*X2*cos(0.453192*X2*X3)*cos(1.495088*X2*X3) + 1.683
kappa*(T2-T1)*A/d,8.385779989434488,1.69398749053521*X1*X4*(-X2 + X3)/X5
Pwr/(4*pi*r**2),0.063307359965987,0.0785625991084918*X1/X2**2
q/(4*pi*epsilon*r),0.0597516773798973,0.0797537124230351*X1/(X2*X3)
1/(4*pi*epsilon)*p_d*cos(theta)/r**2,0.0259283912314459,(0.004*X1*X4 - 0.0321100917431193*X3*(0.377*X4 - 2.04608294930876)*cos(1.01*X3))/(X1*X4)
p_d/(4*pi*epsilon)*3*z/r**5*sqrt(x**2+y**2),0.3477859478269844,-1.195*(0.184*X2 + 0.249*X6 + exp(-1.176*X1))/(1.116*X4 + 0.603*X5 - exp(1.428*X3)) - 0.031
p_d/(4*pi*epsilon)*3*cos(theta)*sin(theta)/r**3,0.0240698561079744,2.83116883116883*exp(-2.362*X4)*sin(2.026*X3)/X1
3/5*q**2/(4*pi*epsilon*d),0.0717417460459493,0.0482107023411371*X1**2/(X2*X3)
epsilon*Ef**2/2,17.78450945070255,0.500560435584*X1*X2**2
sigma_den/epsilon*1/(1+chi),0.4017172070736165,0.058*X1/(0.058*X2 + 6.476*X3*sin(0.009*X2))
x1*y1+x2*y2+x3*y3,13.494602798822704,0.30006187722*X1*X4*X5 + 0.3164693004*X2*X3*X6 + 10.21
q*Ef/(m*(omega_0**2-omega**2)),0.1676845638322204,(1.54104185749281*X1*X2 + 0.006*X3*X4*(2.022*X4 - 1.772*X5))/(X3*X4*(2.022*X4 - 1.772*X5))
n_0*(1+p_d*Ef*cos(theta)/(kb*T)),3.002363043264538,-0.224045344*X5*X6*(0.604*X2 - 1.095*X4)*(0.604*X3 - 1.095*X4) + 2.247
n_rho*p_d**2*Ef/(3*kb*T),6.237848953907222,0.335291549425125*X1*X2**2*X3/(X4*X5)
n*alpha/(1-(n*alpha/3))*epsilon*Ef,1.2448878466218198,0.9793142723904*X1*X2*X3*X4*exp(0.424809*X1*X2) + 0.005
1+n*alpha/(1-(n*alpha/3)),0.2732704427469236,0.430994424*X1*X2 + 0.497*exp(1.141352*X1*X2) + 0.503
1/(4*pi*epsilon*c**2)*2*I/r,0.0348817078308623,0.159474301272123*X3/(X1*X2**2*X4)
rho_c_0/sqrt(1-v**2/c**2),1.6453543801048018,0.985014*X1 - 246.017736*X2/(4.518*X1 + 500.0*(3.225*X2 - 2.744*X3)/X1) + 0.002
rho_c_0*v/sqrt(1-v**2/c**2),3.033994109899099,0.10563*X2*(9.671*X1 + exp(0.33*X1 + 1.593*X2 - 0.693*X3)) - 0.03
-mom*B*cos(theta),7.2408709042685535,X1*(-0.99779545*X2 - 2.635e-5*X3)*cos(1.0*X3)
-p_d*Ef*cos(theta),8.566158084835058,-0.999345952*X1*X2*cos(1.0*X3)
mu*Nn,8.015472514853732,0.999666*X1*X2
q/(4*pi*epsilon*r*(1-v/c)),0.059857290514642,0.001017*X1/((0.025*X2 - exp(-3.352*X3))*(0.38*X3 + 0.066*X5)) - 0.002
sqrt(omega**2/c**2-pi**2/d**2),1.3265125092348844,(1.216152*X1 - 0.885114*X2 + 0.21888*X3 - 0.153586132177681)/(0.999*X2 + 0.173347778981582)
epsilon*c*Ef**2,107.07189223528584,1.00143095285376*X1*X2*X3**2
epsilon*Ef**2,39.942624315358486,1.000984989312*X1*X2**2 - 0.548*cos(exp(-1.141*X2)) + 0.542
q*v/(2*pi*r),0.701093148200999,0.159432912087912*X1*X2/X3
q*v*r/2,9.07000595566597,0.500560435584*X1*X2*X3
g_*q*B/(2*m),6.434235285478802,0.500229488191126*X1*X2*X3/X4
q*h/(4*pi*m),0.2668612317644341,0.0787786153846154*X1*X2/X3
g_*mom*B*Jz/(h/(2*pi)),223.43608882500652,6.200584496379*X1*X3*X4*X5/X2
n_0/(exp(mom*B/(kb*T))+exp(-mom*B/(kb*T))),0.3965753411227757,0.074680704*X1**2 - 0.18816*X4 + 1.035 - 0.609815523842673*X5/(X2*X3)
q1*q2*r/(4*pi*epsilon*r**3),0.2460722322124488,0.0823559369248201*X1*X2/(X3*X4**2)
n_rho*mom*tanh(mom*B/(kb*T)),8.721129923625174,1.01096436*X1*X2 - 0.55776*X1 + 0.8778*X3 - 0.27574092*X4*X5 - 0.701
mom*H/(kb*T)+(mom*alpha)/(epsilon*c**2*kb*T)*M,2.3125155706449783,1.17161460534809*X1*X2/(X3*X4*sin(0.546*X7)) - 0.038
mom*(1+chi)*B,29.147006640963266,X1*X2*(1.00059624*X3 + 1.00018)
Y*A*x/d,14.882060437689605,1.00037528256621*X1*X2*X4/X3
Y/(2*(1+sigma)),0.2779974620022072,0.344671201814059*X1*exp(0.039*X2 - 1.11916868355523*exp(-1.147*X2))/X2
1/(exp((h/(2*pi))*omega/(kb*T))-1),9.122516302290704,-0.472 + 6.27770183615634*X3*X4/(X1*X2)
(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(kb*T))-1),7.114576899805983,-12.722423*X1*X3 - 1.0*(52.897*X1 + 4.168*X4)*(0.001*X2 - 0.24*X3) + 0.003
2*mom*B/(h/(2*pi)),42.03711773515507,12.5452941772152*X1*X2/X3
sin(E_n*t/(h/(2*pi)))**2,0.3961946275682655,0.13651*X3*sin(1.392*X3)*cos(0.73*X3)*cos(2.261952*X1*X2) + 0.488
(p_d*Ef*t/(h/(2*pi)))*sin((omega-omega_0)*t/2)**2/((omega-omega_0)*t/2)**2,22.021244403170996,5.37254491487188*X1*X2*X3/X4**2 + 1.69272265437788*X1*X2/X3 - 1.219
q1*r/(4*pi*epsilon*r**3),0.0266958040062114,0.0794950682404776*X1/(X2*X3**2)
mom*sqrt(Bx**2+By**2+Bz**2),11.815299165169964,(1.005*(0.603*X1*exp(1.546*X3) + 1)*(0.056*X1 + 0.961*X2 + 1.064*X3 + 0.893*X4) - 0.076*exp(1.546*X3))*exp(-1.546*X3)
n*(h/(2*pi)),1.0091753209709051,0.1590186*X1*X2
2*E_n*d**2*k/(h/(2*pi)),642.1858830830756,12.5684202684333*X1*X2**2*X3/X4
I_0*(exp(q*Volt/(kb*T))-1),8.41998578529205,(2.78933982572081*X1*X3**2*(1.049*X2 - 0.558*X5) - 0.157*X4*X5)/(X4*X5)
2*U*(1-cos(k*d)),7.204038348038567,0.687*(0.434*X1 - sin(5332.098*X1))*(exp(0.377*X1) + sin(2.758*X3)) + 2.624
(h/(2*pi))**2/(2*E_n*d**2),0.0154428074759416,0.013252229301163*X1**2/(X2*X3**2)
2*pi*alpha/(n*d),4.181008157760607,6.28375252830788*X1/(X2*X3)
beta*(1+alpha*cos(theta)),6.58484908408835,1.633254*X2*exp(0.205*X1)*cos(0.997*X3) + 3.241
-m*q**4/(2*(4*pi*epsilon)**2*(h/(2*pi))**2)*(1/n**2),1.1124974117923525,-0.587996651630859*X1*X2**2/(X3*X4**2*X5) + 0.195
-rho_c_0*q*A_vec/m,10.35007780342905,-0.998136800617021*X1*X2*X3/X4
