Original,RMSE,Modelo
1/2*m*(v**2+u**2+w**2),3.8908178009105834,1.00406*X1*(0.115*X3 + exp(0.246*X2))*(0.801*X3 + 1.162*X4) + 0.568
1/2*m*(v**2+u**2+w**2),3.9337532031548337,3.871*X1*(0.100098*X2 + 0.38)*(-0.235*X1 + 0.287*X2 + 0.989*X3 + 1.102*X4) - 4.616
1/2*m*(v**2+u**2+w**2),4.077390179999352,(0.216783*X1*(0.939*X2 + 0.681*X3)*(1.78451178451178*X3 + X4*(0.37*X2 + 3.559*X4)) + 1.041*X4)/X4
G*m1*m2*(1/r2-1/r1),2.0371009739948265e-07,0.997605372009724*X1*X2*X5*(X3 - X4)/(X3*X4)
G*m1*m2*(1/r2-1/r1),2.0371009739948265e-07,1.00126711878802*X1*X2*X5*(X3 - X4)/(X3*X4)
G*m1*m2*(1/r2-1/r1),2.0371009739948265e-07,1.00360945007513*X1*X2*X5*(X3 - X4)/(X3*X4)
G*m1*m2*(1/r2-1/r1),2.0371009739948265e-07,0.996602200963021*X1*X2*X5*(X3 - X4)/(X3*X4)
G*m1*m2*(1/r2-1/r1),2.0371009739948265e-07,0.966833764203822*X1*X2*X5*(X3 - X4)/(X3*X4)
m*g*z,7.763229662181325e-07,0.997402684278*X1*X2*X3
m*g*z,7.763229662181325e-07,1.001464323312*X1*X2*X3
m*g*z,7.763229662181325e-07,1.00066604026*X1*X2*X3
m*g*z,7.763229662181325e-07,0.9989820984*X1*X2*X3
m*g*z,7.763229662181325e-07,0.999679229307*X1*X2*X3
1/2*k_spring*x**2,4.755595827554057e-07,0.49734279936*X1*X2**2
1/2*k_spring*x**2,4.755595827554057e-07,0.498827380122*X1*X2**2
1/2*k_spring*x**2,4.755595827554057e-07,0.50033185608*X1*X2**2
1/2*k_spring*x**2,4.755595827554057e-07,0.50073697782*X1*X2**2
1/2*k_spring*x**2,4.755595827554057e-07,0.495310204928*X1*X2**2
(x-u*t)/sqrt(1-u**2/c**2),0.0180913158100494,(-0.045895976*X1*X2 + (0.464*X2 - 0.436*X3)*(0.997143*X1 - 1.023857492*X2*X4 + 0.004))/(0.464*X2 - 0.436*X3)
(x-u*t)/sqrt(1-u**2/c**2),0.0256292415806101,0.0510784596299535*X1**2*X2**2/X3**2 + 0.982708*X1 - 1.05081422*X2*X4 + 0.248
(x-u*t)/sqrt(1-u**2/c**2),0.0284674419964059,1.024648*X1 + 3.08151509481969*X2**2/X3**2 - 1.015293704*X2*X4 - 0.166
(x-u*t)/sqrt(1-u**2/c**2),0.0292753590888253,1.023642*X1 - 1.01311587*X2*X4 - 3.219*cos(1.40760869565217*X2/X3) + 3.048
(x-u*t)/sqrt(1-u**2/c**2),0.0433663407551143,1.022892*X1 - 1.001194176*X2*X4 + 1.88055730588812*X2/(0.806763285024155*X2 - X3)**2 - 0.152
(t-u*x/c**2)/sqrt(1-u**2/c**2),0.0241625287345844,(-0.517532*X3*(0.439*X1 - 0.428*X4) + (0.238144*X2**2 - 0.461*X3)*(0.991145*X4 + 0.003))/(0.238144*X2**2 - 0.461*X3)
(t-u*x/c**2)/sqrt(1-u**2/c**2),0.0316221501198722,-1.121232*X1*exp(-0.563*X2) + 0.071064*X3 + 0.99687*X4 + 1.19427*X4*exp(-0.581*X2) - 0.114
(t-u*x/c**2)/sqrt(1-u**2/c**2),0.0383725687300078,1.008745*X4 + 0.004 - 6.77831649114083*cos(0.541*X3 + 2.01790633608815*X4/(X1*X2))/X2**2
(t-u*x/c**2)/sqrt(1-u**2/c**2),0.0402697709077545,-0.325786466165414*X1/X2 + 1.00521*X4 + 0.083 + 2.754*exp(-4.04470306080324*X2/(X3*X4))
(t-u*x/c**2)/sqrt(1-u**2/c**2),0.0406184414315816,(-0.768426183844011*X1 + X2*(0.078075*X1 + 0.910875*X4 - 0.004) + 0.814338440111421*X4)/X2
m_0*v/sqrt(1-v**2/c**2),0.006266057428068,0.99472516*X1*X2/cos(1.08823529411765*X2/X3) - 0.0431289453621347*X1*X2/(X3*cos(1.08823529411765*X2/X3)) + 0.007
m_0*v/sqrt(1-v**2/c**2),0.0140821512717896,0.655960497147885*X1*X2**3/X3**2 + 0.99373092*X1*X2*cos(0.019*X2) + 0.002
m_0*v/sqrt(1-v**2/c**2),0.0182950138941146,0.992592081*X1*X2 + 0.465227193895248*X1*exp(0.6498*X2**2)/X3**2 + 0.016
m_0*v/sqrt(1-v**2/c**2),0.01890325148896,(0.968257984*X1*X2*(0.301*X2 - 0.434*X3) + 0.00196*X2 - 0.00217*X3)/(0.392*X2 - 0.434*X3)
m_0*v/sqrt(1-v**2/c**2),0.0191269968697581,1.98727953632462*X1*X2**2/X3**2 + 1.04474637262357*X1*X2 - 0.586606610119918*X1*X2/X3 + 0.006
(u+v)/(1+u*v/c**2),0.169746415887194,(X2*(1.999 - 0.416*cos(0.62*X2 + 0.453*X3)) - (0.434304*X2**2 + 0.42440404040404*X3)*cos(0.669*X1))/X2
(u+v)/(1+u*v/c**2),0.1748320206097616,0.149424075*X1*X2 + 0.154036152*X1*X3 - 0.136165428*X2*X3 - 1.719*cos(sin(0.498*X1)) + 2.452
(u+v)/(1+u*v/c**2),0.1788891944180215,(-0.816867*X1*(0.945*X1 - 0.881*X2) + (2.907*exp(sin(0.296*X1)) - 3.261)*exp(exp(0.419*X3)))*exp(-exp(0.419*X3))
(u+v)/(1+u*v/c**2),0.1844794779572527,0.946608*X1 + 0.656*sin(1.32587064676617*X1*exp(0.444*X1)/(0.331*X2*X3*exp(0.444*X1) + X3)) - 0.369
(u+v)/(1+u*v/c**2),0.1990046176494415,0.18244344*X1*X2 - 0.169538904*X2*X3 + 0.74164*X3*sin(0.322*X1) + 0.992
exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),0.0055460500286737,(-0.671212248*(X2 - X3)**2 + 0.114*exp(1.795*X1) + 5.208*sin(0.298*X1))*exp(-1.795*X1)
exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),0.0064223312358449,0.266998932004272*X1**4*exp(0.426*X1)/(X1**3 + 0.447014626608345*(0.990066225165563*X2 - X3)**2)**2 + 0.031
exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),0.0079531348061701,0.121 + 1.272*exp(-exp(0.505*X1))*cos(0.904*X2 - 0.905*X3)
exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),0.0081505838618877,0.043*exp((X1*sin(1.479*X1) + 1.41442715700141*cos(exp(0.477481*(X2 - X3)**2)))/X1) + 0.12
exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),0.009038436554277,(0.113*exp(1.096*X1) + 0.4035*cos(1.374*X2 - 1.374*X3) + 0.4035)*exp(-1.096*X1)
(m1*r1+m2*r2)/(m1+m2),0.1276369889773156,0.562896*X3 + 0.01728*X4*(0.525*X1 - 0.659*X2)*(1.864*X3 - 1.799*X4) + 0.433728*X4 + 0.022
(m1*r1+m2*r2)/(m1+m2),0.1474518832932796,(X1*(0.680225*X3 + 0.30394*X4 + 0.075) - 0.11192513368984*X2*(1.478*X3 - 1.443*X4))/X1
(m1*r1+m2*r2)/(m1+m2),0.2107047541078243,0.097308*X1*sin(1.0*X4) - 0.146574*X2*sin(0.976*X4) + 0.490518*X3 + 0.3825*X4 + 0.432
(m1*r1+m2*r2)/(m1+m2),0.2206153101253316,0.494999*X3 + 0.374504*X4 + (0.08587*X1 - 0.136838*X2)*sin(1.009*X4) + 0.421
(m1*r1+m2*r2)/(m1+m2),0.2405914725627316,-0.380827*X2*exp(-0.18*X1)*cos(0.503*X4) + 0.49235*X3 + 0.158697*X4 + 1.101
r*F*sin(theta),3.65402111937662e-05,1.000585728*X1*X2*sin(1.0*X3)
r*F*sin(theta),0.0002588200249774,1.000189323*X1*X2*sin(1.0*X3)
r*F*sin(theta),0.0003701167937411,0
r*F*sin(theta),0.0003733267015472,301.79828*X1*sin(0.003*X2)*sin(1.0*X3)
r*F*sin(theta),0.0006167463540546,1.00048695*X1*X2*sin(1.0*X3) + 0.001
m*r*v*sin(theta),0.0013260612952069,1.0003818279*X1*X2*X3*sin(1.0*X4) - 0.001
m*r*v*sin(theta),0.0020084065156446,1.001130611712*X1*X2*X3*sin(1.0*X4) - 0.001
m*r*v*sin(theta),0.0033949215866518,0.999141730944*X1*X2*X3*sin(1.0*X4) - 0.002
m*r*v*sin(theta),0.0036464904637051,0.992628032832*X1*X2*X3*sin(1.0*X4) - 0.002
m*r*v*sin(theta),0.0040591558751955,178.689275424*X1*X3*sin(0.006*X2)*sin(1.0*X4) + 0.002
1/2*m*(omega**2+omega_0**2)*1/2*x**2,5.351870359731307e-07,0.26286233524416*X1*X4**2*(X2**2 + X3**2)
1/2*m*(omega**2+omega_0**2)*1/2*x**2,5.351870359731307e-07,0.2507264886192*X1*X4**2*(X2**2 + X3**2)
1/2*m*(omega**2+omega_0**2)*1/2*x**2,0.5791198600555205,0.79565373*X4**2*(1.207*X1 - 0.034*X3)*(exp(0.445*X3) - sin(1.404*X2)) + 0.384
1/2*m*(omega**2+omega_0**2)*1/2*x**2,0.6880370611010944,0.219683181564*X1*X4**2*(1.044024*X2**2 + exp(0.805*X3)) - 0.47
1/2*m*(omega**2+omega_0**2)*1/2*x**2,0.7076394616225509,0.229209927552*X1*X4**2*(0.77*X2 + 0.667*X3)*(0.77*X2 + 0.766*X3) + 0.46
q/C,3.4585388423918715e-08,0.998982456140351*X1/X2
q/C,3.4585388423918715e-08,1.00224528301887*X1/X2 + 0.00191823899371074
q/C,3.4585388423918715e-08,1.00023830935252*X1/X2
q/C,3.4585388423918715e-08,0.999169942196532*X1/X2
q/C,3.4585388423918715e-08,0.99992757996379*X1/X2
np.arcsin(n*sin(theta2)),0.006332799101067,0.721*exp(0.630436*X1**2*cos(cos(0.995*X2)))*sin(1.322*X1)*sin(1.001*X2) - 0.001
np.arcsin(n*sin(theta2)),0.0101093678605484,4.125*exp(cos(exp(cos(0.608*X1))))*sin(0.603*X1)*sin(0.999*X2) - 0.004
np.arcsin(n*sin(theta2)),0.0101287017078038,3.056*sin(0.275*X1)*sin(0.999*X2)/sin(cos(0.736*X1)) - 0.004
np.arcsin(n*sin(theta2)),0.010140396614485,8.753*exp(cos(exp(exp(cos(0.129*X1)))))*sin(0.266*X1)*sin(0.999*X2) - 0.004
np.arcsin(n*sin(theta2)),0.010153405003648,2.183*sin(0.999*X2)*sin(sin(0.455*X1))/cos(0.712*X1) - 0.004
1/(1/d1+n/d2),2.0737850301670753e-08,0.453522*X2*(0.964*X1 - sin(0.007*X1))/(0.434784*X1*X3 + 0.435*X2)
1/(1/d1+n/d2),4.830380330333807e-05,0.171912*X1*X2/(0.170752*X1*X3 + 0.171*X2)
1/(1/d1+n/d2),0.018483710334609,(0.040716*X2 + 0.154791*X3 + (0.440128*X2 - 0.172592*X3)*sin(0.319*X1))/(0.116*X2 + 0.441*X3)
1/(1/d1+n/d2),0.0190295604020247,(0.11484*X2 + 0.436392*X3 + (1.247474*X2 - 0.484288*X3)*sin(0.322*X1))/(0.33*X2 + 1.254*X3)
1/(1/d1+n/d2),0.0206055497249892,(0.139854*X2 + 0.52812*X3 + (1.97064*X2 - 0.70584*X3)*sin(sin(0.279*X1)))/(0.429*X2 + 1.62*X3)
omega/c,3.0065537662653225e-08,0.999522875816994*X1/X2
omega/c,3.0065537662653225e-08,0.999875194199896*X1/X2
omega/c,3.0065537662653225e-08,0.997963302752294*X1/X2
omega/c,3.0065537662653225e-08,1.0*X1/X2
omega/c,3.0065537662653225e-08,0.996923076923077*X1/X2
sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),0.7006773398692893,0.64974*X1 + 0.66453*X2 - (0.37128*X1 + 0.32742*X2)*cos(1.014*X3 - 1.015*X4) + 0.198
sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),0.8119552484268238,5.319 - 3.278*cos((0.693*X1 + 0.779*X2)*(0.165*X3 - 0.166*X4))
sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),0.8832040485961492,0.2636984*X1**2/X2 + 1.09998*X2 - 2.037*cos(1.1*X3 - 1.097*X4) - 0.382
sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),1.0403705515377202,(0.99009900990099*X3 - X4)**2*(-0.066272051223*X1*sin(1.52*X3) + 0.098048890494*X1 + 0.093080830077*X2) + 2.328
sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),1.0515022770339195,0.650832*X1 + 0.116436944*X2**2 - 2.384*sin(1.195*X3 - 0.713*X4) - 1.192*cos(0.952*X3) + 0.506
Int_0*sin(n*theta/2)**2/sin(theta/2)**2,0.3774614079840598,0.185402*X1*exp(-cos(0.999698*X2*X3))/(sin(0.182*X2)*sin(0.588*X2)) + 0.112
Int_0*sin(n*theta/2)**2/sin(theta/2)**2,0.5252648622136787,(1.02626*X1 - (0.552*X2 + 0.081*X3)*(2.116*cos(1.0101*X2*X3) + 0.316)*sin(0.596*X2))/((0.552*X2 + 0.081*X3)*sin(0.596*X2))
Int_0*sin(n*theta/2)**2/sin(theta/2)**2,0.602129925723951,1.20605153901217*X1/(X2*sin(0.606*X2)) - 2.214*cos(1.008904*X2*X3) + 0.181
Int_0*sin(n*theta/2)**2/sin(theta/2)**2,0.706517004188185,1.87355008488964*X1/X2 - 2.363*sin(0.674*X2) - 2.363*cos(0.999999*X2*X3) + 1.596
Int_0*sin(n*theta/2)**2/sin(theta/2)**2,0.769200103062511,-2.356*cos(1.00224*X2*X3) + 0.228 + 0.389318527331615*(X1 + 0.347236*X2**2)**2/X2**2
sqrt((x2-x1)**2+(y2-y1)**2),0.1729537095918944,-2.057*sin(0.549*X3 + cos(0.56*X4)) - 2.057*cos(0.503*X1 - 0.504*X2) + 4.951
sqrt((x2-x1)**2+(y2-y1)**2),0.1782453430745148,0.214123581*(X3 - X4)**2 - 1.101*cos(0.817*X1 - 0.812*X2) + 1.95
sqrt((x2-x1)**2+(y2-y1)**2),0.1807527723247398,-3.489*cos(0.411*X1 - 0.411*X2)*cos(0.43*X3 - 0.435*X4) + 4.23
sqrt((x2-x1)**2+(y2-y1)**2),0.1920766663504257,-2.285*cos(0.477*X1 - 0.478*X2) - 2.285*cos(0.46*X3 - 0.455*X4) + 5.468
sqrt((x2-x1)**2+(y2-y1)**2),0.2281545193498837,0.198969048*(0.988179669030733*X1 - X2)**2 + 0.208487768*(0.997690531177829*X3 - X4)**2 + 0.99
np.arcsin(lambd/(n*d)),0.0010825900169689,(-1.406251*X1*X2 + 0.153692865779927*X1 - 0.00305815599999998*X2**2*X3)/(0.600362756952842*X1 - 1.40079*X2**2*X3)
np.arcsin(lambd/(n*d)),0.0010825900169689,(-0.861462*X1*X2 + 0.0932602179836513*X1 - 0.00139445000000005*X2**2*X3)/(0.36716621253406*X1 - 0.858505*X2**2*X3)
np.arcsin(lambd/(n*d)),0.0011871556502501,(-1.85066666666667*X1 + 0.00066500544*X2**2*X3**2 - 0.0168770000000009*X2*X3)/(0.444444444444444*X1 - 2.007*X2*X3)
np.arcsin(lambd/(n*d)),0.0013643081907029,-0.40896*X1/((2.303*X2 - exp(-1.803*X2))*(0.0377358490566038*X1/X2 - 0.189*X3)) + 0.005
np.arcsin(lambd/(n*d)),0.0013781604785866,(-3.13478099999998*X1 + 0.147259528001086*X2*X3)/(0.687*X1 - 3.33802*X2*X3)
q**2*a**2/(6*pi*epsilon*c**3),1.2097031606589164e-08,0.054056808679203*X1**2*X2**2/(X3*X4**3)
q**2*a**2/(6*pi*epsilon*c**3),0.0525656174867856,0.302929948323876*X1**2*X2**2*exp(-1.952*X4)/X3 + 0.02
q**2*a**2/(6*pi*epsilon*c**3),0.0765569763091871,(-0.233734658138051*X1*X2 - 0.039*X3*X4*(0.03895*X1*X2 - 0.865*X4))/(X3*X4*(0.03895*X1*X2 - 0.865*X4))
q**2*a**2/(6*pi*epsilon*c**3),0.0863411571299309,(-0.0869875102243984*X1**2*X2 - 0.015*X3*X4*(0.314*X2 - 1.522*X4))/(X3*X4*(0.314*X2 - 1.522*X4))
q**2*a**2/(6*pi*epsilon*c**3),0.0865540449163733,(-0.0745806810653616*X1**2*X2 - 0.015*X3*X4*(0.27*X2 - 1.308*X4))/(X3*X4*(0.27*X2 - 1.308*X4))
(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),0.1007289745616391,-0.123000000000000
(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),1.1736083141932,(-5.968256448*X1*X3*(0.066*X2 + 0.311*X4) - 1.5386867*X5**2 + 2.159278*X6)/(0.47815*X5**2 - 0.671*X6)
(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),1.280819434582224,66.0471967999676*X1*X3*X4*(X5 - 0.310877192982456*X6)**2*exp(-0.749*X6) + 0.143
(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),1.323115462790411,74.141978367517*X1*X3*X4*(X5 - 0.309920983318701*X6)**2*exp(-0.783*X6) + 0.153
(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),1.4032776662531552,0.019729915794*X1*X3*X4*exp(10.0359712230216*X5/X6) - 0.043941906*X1*X4*exp(-0.967*X2 + 10.0359712230216*X5/X6) - 0.501
q*v*B/p,3.90156213233877e-07,0.968308583990536*X1*X2*X3/X4
q*v*B/p,3.90156213233877e-07,1.00166745752788*X1*X2*X3/X4
q*v*B/p,3.90156213233877e-07,0.998880121408696*X1*X2*X3/X4
q*v*B/p,3.90156213233877e-07,1.0029962006087*X1*X2*X3/X4
q*v*B/p,3.90156213233877e-07,1.00103061226415*X1*X2*X3/X4
omega_0/(1-v/c),0.0001238141615573,0.68259385665529*(1.4647581*X1*X3 - 0.000842000000000009*X1 + 0.0029300000000001*X2)/(X1 - X2)
omega_0/(1-v/c),0.0005125088681857,(2.13547900057291*X1*X3 - 0.002151*X1 + 0.002149*X2)/(2.151*X1 - 2.149*X2)
omega_0/(1-v/c),0.0013594158176805,(1.323762912*X1*X3 + 0.0101450000000005*X1 - 0.03325*X2)/(1.326*X1 - 1.33*X2)
omega_0/(1-v/c),0.0123851769836677,(0.037185*X1 - 0.039109*X2 - 0.645*(0.004*X1 - 0.957*X3)*(1.651*X1 - 0.224*X2))/(1.005*X1 - 1.057*X2)
omega_0/(1-v/c),0.0130827853062536,(1.726817664*X2*X3 + (1.617*X1 - 1.53*X2)*(0.985946*X3 - 0.001))/(1.617*X1 - 1.53*X2)
(1+v/c)/sqrt(1-v**2/c**2)*omega_0,0.0036214002842758,(0.550788*X1*X3 + (0.001 - 0.261569*X3)*(0.434*X1 - 0.316*X2))/(0.434*X1 - 0.316*X2)
(1+v/c)/sqrt(1-v**2/c**2)*omega_0,0.0120836992550273,(0.712532205*X2*X3 + (0.724*X1 - 0.481*X2)*(0.995163*X3 + 0.004))/(0.724*X1 - 0.481*X2)
(1+v/c)/sqrt(1-v**2/c**2)*omega_0,0.0121437007228484,(2.006398944*X1*X3 - 0.003946*X1 + 0.117412416*X2*X3 + 0.003124*X2)/(1.973*X1 - 1.562*X2)
(1+v/c)/sqrt(1-v**2/c**2)*omega_0,0.0147401670299272,1.04652*X3 + 0.002 + 0.526198750471988*X2*X3/X1 + 1.72467530751714*X2**2*X3/X1**2
(1+v/c)/sqrt(1-v**2/c**2)*omega_0,0.0232757324428383,(1.156609344*X2*X3 + (1.108*X1 - 0.693*X2)*(0.976866*X3 + 0.018))/(1.108*X1 - 0.693*X2)
(h/(2*pi))*omega,3.884640663808247e-08,0.158804393*X1*X2
(h/(2*pi))*omega,3.884640663808247e-08,0.156316776*X1*X2
(h/(2*pi))*omega,3.884640663808247e-08,0.159445*X1*X2
(h/(2*pi))*omega,3.884640663808247e-08,0.159103495*X1*X2
(h/(2*pi))*omega,3.884640663808247e-08,0.159289416*X1*X2
I1+I2+2*sqrt(I1*I2)*cos(delta),0.1928339212016663,0.991825*X1 + 0.991825*X2 + (0.971375*X1 + 0.950925*X2)*cos(1.0*X3) + 0.085
I1+I2+2*sqrt(I1*I2)*cos(delta),0.1953602420249578,0.957396*(X1 + X2)*(cos(0.999*X3) + 1.03206412825651) + 0.079
I1+I2+2*sqrt(I1*I2)*cos(delta),0.2004160431262354,(1.945904*X1 + 1.919608*X2)*cos(0.501*X3)**2 + 0.251
I1+I2+2*sqrt(I1*I2)*cos(delta),0.2030593325538797,(0.948318*X1 + 0.986062*X2)*(exp(exp(-2.334*X2)) + cos(1.001*X3)) + 0.208
I1+I2+2*sqrt(I1*I2)*cos(delta),0.5152595422839302,-0.282824325*X1*X2*(0.318*X3 - exp(cos(0.599*X3)**2)) + 3.521*cos(0.995*X3) + 3.634
4*pi*epsilon*(h/(2*pi))**2/(m*q**2),2.0419240877309223e-08,0.31981519300633*X3**2*X4/(X1*X2**2)
4*pi*epsilon*(h/(2*pi))**2/(m*q**2),2.0419240877309223e-08,0.318101964494353*X3**2*X4/(X1*X2**2)
4*pi*epsilon*(h/(2*pi))**2/(m*q**2),2.0419240877309223e-08,0.317676974408568*X3**2*X4/(X1*X2**2)
4*pi*epsilon*(h/(2*pi))**2/(m*q**2),2.0419240877309223e-08,0.319429304950809*X3**2*X4/(X1*X2**2)
4*pi*epsilon*(h/(2*pi))**2/(m*q**2),2.0419240877309223e-08,0.31845298714297*X3**2*X4/(X1*X2**2)
3/2*pr*V,4.181897955527385e-07,1.51151616*X1*X2
3/2*pr*V,4.181897955527385e-07,1.499295663*X1*X2
3/2*pr*V,4.181897955527385e-07,1.499036*X1*X2
3/2*pr*V,4.181897955527385e-07,1.49949644*X1*X2
3/2*pr*V,4.181897955527385e-07,1.5004549*X1*X2
G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),0.0417551197919272,(0.871826625386997*X2*(1.323*X1 + 0.689*X7)*(0.497*X3 + 0.217*X9) - 0.065*X4*X8)/(X4*X8)
G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),0.0424366950520008,(0.677085107905343*X1*X2*X3*(0.595*X7 + 0.416*X9) - 0.001*X4*X8)/(X4*X8)
G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),0.0424638639966186,(1.88199143538949*X2*(0.31*X1 + 0.127*X9)*(0.981*X3 + 0.547*X7) - 0.066*X4*X8)/(X4*X8)
G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),0.0424959266637073,(0.408189433681443*X1*X2*X3*(0.988*X7 + 0.685*X9) - 0.001*X4*X8)/(X4*X8)
G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),0.042499514617488,(0.148145696924798*X1*X2*X3*(2.731*X7 + 1.893*X9) - 0.001*X4*X8)/(X4*X8)
1/(gamma-1)*pr*V,0.017520911055688,0.069257692*X2*X3/sin(0.064*X1) - 0.001 + 0.225774600259449*X2*X3/(X1**2*sin(0.064*X1))
1/(gamma-1)*pr*V,0.0184033110610971,0.002 + 1.10930102967898*X2*X3/X1 + 3.51193180323821*X2*X3/X1**3
1/(gamma-1)*pr*V,0.039068752083969,-0.003 + 1.07502528629032*X2*X3/(X1*sin(sin(0.308*X1))*cos(exp(-1.118*X1)))
1/(gamma-1)*pr*V,0.0405330737806471,(0.841632*X3*(0.011*X2 + sin(0.038*X2)) - 0.006*sin(0.039*X1)*sin(sin(0.303*X1)))/(sin(0.039*X1)*sin(sin(0.303*X1)))
1/(gamma-1)*pr*V,0.0406236415385078,(-0.004*X1*sin(sin(0.304*X1)) + 2.26884057971014*X3*(0.395*X2 + sin(0.077*X2)))/(X1*sin(sin(0.304*X1)))
n*kb*T/V,3.047114659055719e-07,0.997632454564819*X1*X2*X4/X3
n*kb*T/V,3.047114659055719e-07,1.00005562587727*X1*X2*X4/X3
n*kb*T/V,3.047114659055719e-07,0.998114045431035*X1*X2*X4/X3
n*kb*T/V,3.047114659055719e-07,0.999845304014397*X1*X2*X4/X3
n*kb*T/V,3.047114659055719e-07,0.997153112903226*X1*X2*X4/X3
n_0*exp(-m*g*x/(kb*T)),0.206650170316802,0.223*(2.788*X4 + 8.43846153846154*X6/X3)/(0.787*X2 + 0.446*X5 + cos(0.403*X1)) - 0.643
