Original,R2,Modelo,RMSE
1/(1/d1+n/d2),0.9812103795856818,0.0794368355308813*X1*X2/X3 + 2.107206*X2/(1.977*X2 + 1.318*X3) - 0.149,0.04603632354822723
omega/c,0.9999999999999635,1.0000099923136*X1/X2,3.006553766265322e-08
sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),0.6807956815950553,6.899 - 1.921*exp(cos(0.83*X3 - 0.838*X4)),1.0982922814315599
Int_0*sin(n*theta/2)**2/sin(theta/2)**2,0.03849622393797314,0.63380487804878*X1*sin(0.608*X3)/(X2*sin(0.291*X2)*sin(0.62*X2)) + 1.005,1.4683580945760262
sqrt((x2-x1)**2+(y2-y1)**2),0.9209740998968867,0.202920025*(0.994805194805195*X1 - X2)**2 + 1.369*(0.368*X3 - 0.326*X4)*(0.402*X3 - 0.455*X4) + 1.021,0.23117749734722262
np.arcsin(lambd/(n*d)),0.9998768243798989,2.101*exp(0.445082995820871*X1/(X2*X3)) - 2.096,0.001523920024450321
q**2*a**2/(6*pi*epsilon*c**3),0.9778217724403714,-0.0330000000000000,0.1329386445226899
(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),-1.7494395762858255,(-4.005187*X1 - 0.067*(2.34*X1 - 1.508*X6)*(2.133*X5 - 1.534*X6) + 1.553*exp(1.534*X5))/((2.34*X1 - 1.508*X6)*(2.133*X5 - 1.534*X6)),9.932840024498683
q*v*B/p,0.9999999999999902,1.00102289815385*X1*X2*X3/X4,3.90156213233877e-07
omega_0/(1-v/c),0.9999994560061869,(1.323762912*X1*X3 + 0.0101450000000005*X1 - 0.03325*X2)/(1.326*X1 - 1.33*X2),0.001359415817680596
(1+v/c)/sqrt(1-v**2/c**2)*omega_0,0.9966692516037908,1.108591*X3 - 3.251*cos(0.302*X2) + 2.943 + 4.04353040275506*X2*X3/X1**2,0.09911303294107841
(h/(2*pi))*omega,0.9999999999999788,0.160721379*X1*X2,3.884640663808247e-08
I1+I2+2*sqrt(I1*I2)*cos(delta),0.9079137968606776,-18.84*exp(-0.524*X1 - 0.633*X2) - 18.84*sin(0.502*X3) + 20.105,0.9356431580436038
4*pi*epsilon*(h/(2*pi))**2/(m*q**2),0.9999999999999756,0.317392369659798*X3**2*X4/(X1*X2**2),2.0419240877309226e-08
3/2*pr*V,0.9999999999999826,1.501643018*X1*X2,4.1818979555273846e-07
G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),0.79368281414502,(0.261508477734218*X1*X2*X3*X7*(0.198*X5 + 0.284*X9) + 0.025*X4)/X4,0.04895327580098101
1/(gamma-1)*pr*V,0.9999793550867937,0.002 + 1.10930102967898*X2*X3/X1 + 3.51193180323821*X2*X3/X1**3,0.018403311061097126
n*kb*T/V,0.9999999999999823,0.99902838601467*X1*X2*X4/X3,1.835829306169673e-05
n_0*exp(-m*g*x/(kb*T)),0.8313834578752513,(-0.189*X3*exp(0.374*X2) + 0.174752*(X1 + X4)*(X3*cos(0.465*X5) + 1.35208333333333*X6))*exp(-0.374*X2)/X3,0.2724706490513025
h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(kb*T))-1)),0.9877878580942465,(0.0199862524045643*X1*X2*X4*(4.18072289156626*X1 + 0.318*X2*X5) - 0.091*X5**2)/X5**2,0.10568337288771526
mu_drift*q*Volt/d,0.9999999999999899,0.99889202133141*X1*X2*X3/X4,3.473130644090316e-07
mob*kb*T,0.9999999999999699,1.000459588842*X1*X2*X3,9.382845368728475e-07
1/(gamma-1)*kb*v/A,0.9999643708863031,0.112464579243765*X2*X4/X3 - 0.002 + 3.4889426349221*X2*X4/(X1**2*X3),0.01154896429213857
"n*kb*T*log(V2/V1,e)",0.9493968973410771,-0.57891753*X1*X3*(0.256*X4 - 0.259*X5)*(0.392*X1 + 2.505*X2 - 0.467*X5) + 0.051,5.792364663369974
sqrt(gamma*pr/rho),0.9923390361457534,(-1.11203164859694*X1*(0.099372*X1*X2 - 3.054*X3)*sin(0.117*X2) + 0.641*X3**2)/X3**2,0.05397276133847327
m*c**2/sqrt(1-v**2/c**2),0.9999676430926665,1.703007072*X1*X2 + 1.034883667968*X1*X3**2 - 0.474064896*X1*X3 + 0.473,0.4912296487164239
m_0/sqrt(1-v**2/c**2),0.9997618516198093,0.660990525345622*X1*X2**2/X3**2 + 0.993882*X1 - 0.002,0.01939808135632967
x1*(cos(omega*t)+alpha*cos(omega*t)**2),0.6517672077600073,4.448*cos(0.490539*X2*X3)*cos(1.513071*X2*X3) + 2.12,0.9730540243245526
kappa*(T2-T1)*A/d,0.9999980925837729,(-0.420931083877129*X1*X4*(0.00107*X2 + 2.215)*(1.07*X2 - 1.071*X3) - 0.007*X5)/X5,0.00818721164741995
Pwr/(4*pi*r**2),0.9999999999999221,0.0803305785123967*X1/X2**2,1.562961437684401e-09
q/(4*pi*epsilon*r),0.9999999999999856,0.0796615881375592*X1/(X2*X3),1.0373829821631594e-09
1/(4*pi*epsilon)*p_d*cos(theta)/r**2,0.8428611361020265,-0.117927927927928*X2*exp(-5.58659217877095*sin(0.654*X1)/X3)/X4 - 0.0982139794020982*X3*exp(-5.58659217877095*sin(0.654*X1)/X3)/X4**2 + 0.01,0.007592145111953897
p_d/(4*pi*epsilon)*3*z/r**5*sqrt(x**2+y**2),0.9327973904585426,(0.009*X1*(0.188*X1 + 2.02*X3)*exp(3.393*X3) + 909.742099192618*X2*sin(0.056*X6))*exp(-3.393*X3)/(X1*(0.188*X1 + 2.02*X3)),0.05003077979612024
p_d/(4*pi*epsilon)*3*cos(theta)*sin(theta)/r**3,0.6976878948124259,(0.00335*X4*exp(0.914*X3) + 0.007*(0.272*X2 + sin(0.59*X3))**2*exp(0.914*X3)*cos(1.213*X3) - 0.01)/(0.335*X4*exp(0.914*X3) - 1),0.008706166587329983
3/5*q**2/(4*pi*epsilon*d),0.9999999999999677,0.0530114416475973*X1**2/(X2*X3),2.5058513732212035e-09
epsilon*Ef**2/2,0.9999999999999822,0.4983848352*X1*X2**2,1.834376776767325e-05
sigma_den/epsilon*1/(1+chi),0.9976236544779588,0.102376536885246*X1/X2 + 0.433140471219803*X1/(X2*X3) - 0.003 - 0.0445696721311475*cos(1.377*X3)/X2,0.013833421787631564
x1*y1+x2*y2+x3*y3,0.9392686063992266,1.009054332*X1*X4 + 0.306779646096*X2*X3*X5 + 3.004837*X6 + 0.797,2.4083772758116226
q*Ef/(m*(omega_0**2-omega**2)),0.9998142937606799,0.470836318734793*X1*X2/(X3*(0.3844*X4**2 + 0.61*X4 - 1.453*X5)) - 0.001,0.001610690843396594
n_0*(1+p_d*Ef*cos(theta)/(kb*T)),0.9121456170255775,1.502 + 2.52133364133364*X5*X6*sin(0.28*X1)*sin(1.802*X4)/(X2*X3),0.7126567458408323
n_rho*p_d**2*Ef/(3*kb*T),0.9999999999999726,0.297346702345223*X1*X2**2*X3/(X4*X5),1.4477985557802704e-07
n*alpha/(1-(n*alpha/3))*epsilon*Ef,0.9979811051625885,0.560403862395*X1*X2*X4*(1.031*X2 + 3.201*X3)*cos(cos(0.512*X1)) - 0.022,0.03951746663433538
1+n*alpha/(1-(n*alpha/3)),0.9999983900644446,1.025*exp(exp(0.356328*X1*X2)) - 1.785,0.00025494542900276237
1/(4*pi*epsilon*c**2)*2*I/r,0.9999999999999912,0.160960834376942*X3/(X1*X2**2*X4),5.638986868251575e-10
rho_c_0/sqrt(1-v**2/c**2),0.9999182709837732,0.615102560252018*X1*X2**2/X3**2 + 0.994504*X1 + 0.001,0.010514377821416064
rho_c_0*v/sqrt(1-v**2/c**2),0.9992360760645616,1.032779927*X1*X2 + 1.71956222848575*X2**2/(0.304243394715773*X1 - X3)**2 - 0.144,0.05916068281816402
-mom*B*cos(theta),0.9999997991197552,-0.49846899*X1*X2*(cos(0.986*X3) + cos(1.014*X3)) - 0.001,0.002289352562654086
-p_d*Ef*cos(theta),0.999997908506114,-1.108626374*X1*X2*cos(1.0*X3) - 0.002,0.008757745230620513
mu*Nn,0.9999999999999878,0.999553932*X1*X2,1.8276611136638975e-05
q/(4*pi*epsilon*r*(1-v/c)),0.9871701895534554,0.119832223626165*X1*exp(-4.83091787439614*cos(1.293*X4)/X5)/(X2*X3*X4) + 0.001,0.004245272141827796
sqrt(omega**2/c**2-pi**2/d**2),0.9996472222845263,0.947956113849579*X1/X2 + 0.395923517252345 - 3.88322621636812*X2/(X1*X3),0.01737523632944799
epsilon*c*Ef**2,0.9999999999999829,0.999144023125248*X1*X2*X3**2,2.8121526576365364e-06
epsilon*Ef**2,0.9999999999999462,0.99988000125*X1*X2**2*cos(exp(-5.635876*X1**2 + sin(1.05*X2))),2.513721702178502e-05
q*v/(2*pi*r),0.999999999999984,0.157872743494424*X1*X2/X3 - 0.000724907063197,1.5211753221424446e-08
q*v*r/2,0.999999999999987,0.49970823168*X1*X2*X3*cos(exp(-5.635876*X3**2 - sin(0.319*X2))),2.739571347486793e-07
g_*q*B/(2*m),0.9999999999999882,0.499976240879492*X1*X2*X3/X4,2.5801799168094398e-05
q*h/(4*pi*m),0.9999999999999869,0.0788284192139738*X1*X2/X3,9.770673465747773e-09
g_*mom*B*Jz/(h/(2*pi)),0.9999999999999792,6.31361886879932*X1*X3*X4*X5/X2,3.1350970277886183e-05
n_0/(exp(mom*B/(kb*T))+exp(-mom*B/(kb*T))),0.9439848867485142,0.11703356*X1*X2 + 0.1242012*X1*X3 - 0.0464967034*X1*X4*X5 + 0.023,0.06880011939550885
q1*q2*r/(4*pi*epsilon*r**3),0.9892233784364779,(0.557663706992231*X1*(0.336*X2 + cos(0.776*X4)**4) + 0.002*X3*exp(1.117*X4))*exp(-1.117*X4)/X3,0.018074827824292154
n_rho*mom*tanh(mom*B/(kb*T)),0.9290481806800739,0.872219232*X1*X2 + 1.289304*X2 - 2.19094887039239*X2/X3 - 0.7191*X4 - 0.806238*X5 + 2.267,1.6367920529712128
mom*H/(kb*T)+(mom*alpha)/(epsilon*c**2*kb*T)*M,0.9661300120177947,(0.887017804942865*X1*X2 + 0.307840198423244*X1*X5 - 0.07*X3*X4*sin(0.552*X7))/(X3*X4*sin(0.552*X7)),0.297718843640734
mom*(1+chi)*B,0.9999999999885648,X1*X2*(1.000236402368*X3 + 0.998958632),8.786767664342412e-05
Y*A*x/d,0.999999999999983,0.99953596203734*X1*X2*X4/X3,1.8421774550940637e-05
Y/(2*(1+sigma)),0.9984660063447288,0.041615*X1 + 0.23875796178344*X1/X2 + 0.035*sin(0.712*X2) - 0.012 - 0.222929936305733*exp(-1.087*X2)/X2,0.007689624297461551
1/(exp((h/(2*pi))*omega/(kb*T))-1),0.9999959662653011,(-0.472*X1*X2 + 89.4992892934572*X4*(0.086*X3 - sin(0.016*X3)))/(X1*X2),0.012952629942112269
(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(kb*T))-1),0.9999870730638994,-0.07300746*X1*X2 + 0.99688389*X3*X4 - 0.003,0.018071565132265842
2*mom*B/(h/(2*pi)),0.999999999999977,12.5627947596567*X1*X2/X3,2.6004775187252805e-05
sin(E_n*t/(h/(2*pi)))**2,-0.7776569191826597,0.307*cos(1.33333333333333*sin(6.353*X3)/(X1*(0.049*X2 - 0.25*X3)*(0.909*X2 - 0.211*X3))) + 0.502,0.4697164201653558
(p_d*Ef*t/(h/(2*pi)))*sin((omega-omega_0)*t/2)**2/((omega-omega_0)*t/2)**2,-0.5305683312941301,(2.08568348219372*X2**2*X3*(1.328*X1 - 0.548*X4) + 6.183*X4**2)/X4**2,17.54838683836409
q1*r/(4*pi*epsilon*r**3),0.9999999999999861,0.0847008505104697*X1/(X2*X3**2),7.264564473303246e-10
mom*sqrt(Bx**2+By**2+Bz**2),0.966471310952315,5.322204*X1 + 1.632708*X2 + 7.068*sin(0.041616*X3**2) - 7.068*cos(0.3*X4) - 3.264,1.5119747425565102
n*(h/(2*pi)),0.9999999999999767,0.159278184*X1*X2,3.497868216730697e-08
2*E_n*d**2*k/(h/(2*pi)),0.99999999999998,12.5848815206336*X1*X2**2*X3/X4,7.544646425998456e-05
I_0*(exp(q*Volt/(kb*T))-1),0.9029455686648079,(4.41993897217509*X1*X3**2*(0.677*X2 - 0.364*X5) - 0.117*X4*X5)/(X4*X5),1.7229832888090486
2*U*(1-cos(k*d)),0.6405933567767301,26.536*cos(cos(0.494326*X2*X3)) - 14.342,3.5790641719766985
(h/(2*pi))**2/(2*E_n*d**2),0.9999999999999669,0.019832655419403*X1**2/(X2*X3**2),2.9685277111380557e-10
2*pi*alpha/(n*d),0.9999999999999816,6.28542353375767*X1/(X2*X3),8.556320591625219e-08
beta*(1+alpha*cos(theta)),0.9999907722234875,0.999214785*X1*X2*cos(0.999*X3) + 1.000215*X1 - 0.003,0.014351870570682945
-m*q**4/(2*(4*pi*epsilon)**2*(h/(2*pi))**2)*(1/n**2),0.641515257844042,-2.72639255482113*X1*X2**2*exp(-0.646*X3 - 1.07*X4)/X5 + 0.105,0.3944693704851428
-rho_c_0*q*A_vec/m,0.9999999999999811,-1.005714980325*X1*X2*X3/X4,3.592137589638342e-07
